date,imports_animal_vegetable_oils,imports_beverages_and_tobacco,imports_chemicals,imports_crude_materials,imports_food_and_live_animals,imports_machinery_and_transport,imports_manufactured_goods,imports_mineral_fuels,imports_miscellaneous_manufactures,imports_other,imports_animal_vegetable_oils_yoy,imports_beverages_and_tobacco_yoy,imports_chemicals_yoy,imports_crude_materials_yoy,imports_food_and_live_animals_yoy,imports_machinery_and_transport_yoy,imports_manufactured_goods_yoy,imports_mineral_fuels_yoy,imports_miscellaneous_manufactures_yoy,imports_other_yoy
2019-04-01,79405616.0,355436425.0,2871640366.0,531350172.0,2421904109.0,8068825584.0,2624573728.0,649104669.0,2748371903.0,70224436.0,12.229294067881558,1.7299907883402632,-16.063603338669573,2.341418349633373,1.6609005191996706,-16.089651148513596,-3.1434926219995996,-50.10880935998059,-2.8695680286974112,-63.10723806761342
2019-05-01,70542275.0,388074957.0,3158012973.0,493091836.0,2356179179.0,8476531482.0,2766928277.0,694392931.0,2700724603.0,98096467.0,8.130569506599294,6.980479323599353,-8.043731316875324,7.983733329135667,4.270097961069386,-0.3865911353352236,6.039545266208113,-5.402704357962362,8.421933744543185,-35.8693466016698
2019-06-01,78274593.0,351343686.0,3207737135.0,466884829.0,2186915583.0,8164087039.0,2897513209.0,835545734.0,3016900105.0,212145529.0,-8.254317845007142,-7.474676514687639,-8.780748081399981,-10.103897585738519,-7.903175742993751,-4.401270032168469,2.768994927883228,-28.941667439456374,14.846175517897597,0.38614915073704736
2019-07-01,77145754.0,391745867.0,3671557029.0,483016058.0,2329128394.0,9239584774.0,2728227283.0,740964585.0,2991449216.0,135723196.0,13.082550657138125,-1.7904485795097624,-1.3948322921735201,-0.16924450112346667,-2.995205081996055,2.47121619623194,-2.0939105058235374,-2.006133479302241,9.464766951784686,-24.960246232520277
2019-08-01,68903242.0,368684712.0,3487187265.0,424246353.0,2315289423.0,7598365063.0,2545066174.0,635867248.0,2889414733.0,285062649.0,-10.959761314123496,-13.986271313042087,-0.8341959027164836,-19.08055027018736,-0.7055443883389634,-12.340832935042434,-7.970352450449414,-14.022831652467026,4.832914239161901,57.24057750828535
2019-09-01,74630354.0,428089018.0,3497614434.0,405514806.0,2459577083.0,9815533974.0,2780876428.0,568379061.0,3031673350.0,448050585.0,-9.169720495269129,0.2700039965917833,-9.409297275506423,-15.482684804936186,4.5974024818297154,40.80342790778637,6.493322166832982,-32.39407364742579,11.122533268698165,276.39173718853624
2019-10-01,94960210.0,563640706.0,4338384806.0,472165460.0,2885868065.0,10183283521.0,2817320949.0,719970713.0,3414432443.0,136102616.0,29.813537810528913,50.004758368316374,24.151925248724805,3.5253667652202836,24.59010732963116,17.5014745358129,10.37942119098043,-15.984848431983266,18.94166313151777,-33.565959621609906
2019-11-01,,364097090.0,,159743815.0,2233241887.0,,,,,,,-28.605676663117872,,-68.22924296004165,-13.63558404137346,,,,,
2020-01-01,66429003.0,309085235.0,3170827400.0,435307532.0,2254227036.0,7408437912.0,2298159715.0,570721943.0,2670300248.0,134664925.0,,-35.15515049680168,,1500.057443751584,-6.4222124083557315,,,,,
2020-02-01,65775329.0,291550618.0,2788231270.0,541088806.0,2175968308.0,8274206483.0,2251755373.0,417163135.0,2510713203.0,95228176.0,-14.913626864738905,-27.268606716527742,-31.378555665496332,6.663362629528358,-8.550707632301624,-8.680761886161193,-13.48541160469644,-54.98117865133359,-9.312543335094025,7.020610071642586
2020-03-01,78810290.0,363038084.0,3571007486.0,515333354.0,2537382582.0,8379342323.0,2428386942.0,496686656.0,2559476398.0,281668576.0,7.687476052742315,-19.226396609372152,-13.529371030141235,1.8544349641093971,6.665879209747216,-15.142762570390666,-6.373676112555337,-30.735955501674695,-3.542775200411774,249.51903136217973
2020-04-01,84743268.0,342458806.0,3016169831.0,385264853.0,2325000024.0,3394079745.0,1547391654.0,241744550.0,1410602588.0,29930618.0,10.932936988751617,-27.79626865434369,-42.36809748527895,-32.18741619462244,-12.623652370505456,-68.86526875210313,-48.11361826896561,-68.70980000429776,-62.27324825245017,-71.14323319175043
2020-05-01,65635441.0,354863043.0,2876310292.0,367666031.0,2299560439.0,3845488144.0,1470457924.0,226846603.0,1605078656.0,80120325.0,-17.341563095486844,-0.16131773776421054,0.16262224390253266,-30.805323800666805,-5.051548884423651,-52.34141444790461,-43.97345716325024,-65.05238464091221,-41.59892792354747,14.091802745129911
2020-06-01,75258455.0,422223633.0,3018249466.0,469431703.0,2377474808.0,6320791368.0,2281296294.0,382206570.0,2207539419.0,257181080.0,6.685608027243228,8.79950519455961,-4.425678684506151,-4.79832178766797,0.903820439031211,-25.431865835427324,-17.551303625641467,-44.95817095234802,-18.261217136029472,162.17160297934075
2020-07-01,93981654.0,478374774.0,3080538064.0,488638953.0,2305808137.0,7149228415.0,2206095883.0,328084785.0,2517882114.0,155248359.0,20.066614718776,36.1557907717744,-3.9653832482754225,4.659419764526129,5.436540620232977,-12.430766834699348,-23.862439137546655,-60.73407215792213,-16.540752879850494,-26.81987702884844
2020-08-01,75158883.0,400264760.0,2872900265.0,472497054.0,2195329490.0,5686626031.0,1918015487.0,418714837.0,2403927509.0,275583761.0,-2.5754768045951004,2.1745967775583352,-21.75253598655188,-2.177775215912181,-5.744591167437374,-38.45366247407516,-29.69737166139175,-43.49057357444418,-19.640036135582516,103.0483875431286
2020-09-01,76985974.0,453861835.0,3133025987.0,528616419.0,2478748497.0,8723408938.0,2416159119.0,413052761.0,2988498861.0,379020087.0,11.730553984673175,23.102971245523186,-10.156072819909202,24.601287733403332,7.059984482985304,14.806394081779061,-5.064978518707863,-35.04103847160249,3.429211004857158,32.96027674253459
2020-10-01,85973629.0,527493286.0,3525765686.0,608428914.0,2615714797.0,8653302487.0,2491586883.0,443297514.0,3049473853.0,284809449.0,15.19927803102743,23.220466730122947,0.8048700773402695,50.038643471873634,6.348152903163151,-11.840736225645909,-10.402819128790142,-22.006712699783993,0.5871510860495643,-36.4336397418162
2020-11-01,85153613.0,551739150.0,656210580.0,518800702.0,2557308580.0,,,414390116.0,,,-10.32705909138154,-2.1115501193059716,-84.87431130838236,9.876885530762891,-11.385118016474538,,,-42.443476030670155,,
