date,year,year_month,era,category,category_disruption_score,import_dependency_pct
2020-07-01,2020,2020-07,COVID Period,Clothing,30.0,91.0
2020-07-01,2020,2020-07,COVID Period,Machinery & Industrial,16.34,78.0
2020-07-01,2020,2020-07,COVID Period,Chemicals & Pharma,43.0,65.0
2020-07-01,2020,2020-07,COVID Period,Energy & Fuels,21.69,71.0
2020-07-01,2020,2020-07,COVID Period,Food & Drink,63.78,82.0
2020-07-01,2020,2020-07,COVID Period,Clothing,70.95,91.0
2020-07-01,2020,2020-07,COVID Period,Machinery & Industrial,16.34,78.0
2020-07-01,2020,2020-07,COVID Period,Chemicals & Pharma,43.0,65.0
2020-07-01,2020,2020-07,COVID Period,Energy & Fuels,21.69,71.0
2020-08-01,2020,2020-08,COVID Period,Food & Drink,65.57,82.0
2020-08-01,2020,2020-08,COVID Period,Clothing,71.52,91.0
2020-08-01,2020,2020-08,COVID Period,Machinery & Industrial,20.4,78.0
2020-08-01,2020,2020-08,COVID Period,Chemicals & Pharma,43.0,65.0
2020-08-01,2020,2020-08,COVID Period,Energy & Fuels,22.35,71.0
2020-08-01,2020,2020-08,COVID Period,Food & Drink,28.67,82.0
2020-08-01,2020,2020-08,COVID Period,Clothing,30.57,91.0
2020-08-01,2020,2020-08,COVID Period,Machinery & Industrial,20.4,78.0
2020-08-01,2020,2020-08,COVID Period,Chemicals & Pharma,43.0,65.0
2020-08-01,2020,2020-08,COVID Period,Energy & Fuels,22.35,71.0
2020-09-01,2020,2020-09,COVID Period,Food & Drink,25.6,82.0
2020-09-01,2020,2020-09,COVID Period,Clothing,30.16,91.0
2020-09-01,2020,2020-09,COVID Period,Machinery & Industrial,12.09,78.0
2020-09-01,2020,2020-09,COVID Period,Chemicals & Pharma,43.0,65.0
2020-09-01,2020,2020-09,COVID Period,Energy & Fuels,22.21,71.0
2020-09-01,2020,2020-09,COVID Period,Food & Drink,62.5,82.0
2020-09-01,2020,2020-09,COVID Period,Clothing,71.11,91.0
2020-09-01,2020,2020-09,COVID Period,Machinery & Industrial,12.09,78.0
2020-09-01,2020,2020-09,COVID Period,Chemicals & Pharma,43.0,65.0
2020-09-01,2020,2020-09,COVID Period,Energy & Fuels,22.21,71.0
2020-10-01,2020,2020-10,COVID Period,Food & Drink,62.92,82.0
2020-10-01,2020,2020-10,COVID Period,Clothing,77.46,91.0
2020-10-01,2020,2020-10,COVID Period,Machinery & Industrial,16.25,78.0
2020-10-01,2020,2020-10,COVID Period,Chemicals & Pharma,43.0,65.0
2020-10-01,2020,2020-10,COVID Period,Energy & Fuels,22.31,71.0
2020-10-01,2020,2020-10,COVID Period,Food & Drink,26.02,82.0
2020-10-01,2020,2020-10,COVID Period,Clothing,36.51,91.0
2020-10-01,2020,2020-10,COVID Period,Machinery & Industrial,16.25,78.0
2020-10-01,2020,2020-10,COVID Period,Chemicals & Pharma,43.0,65.0
2020-10-01,2020,2020-10,COVID Period,Energy & Fuels,22.31,71.0
2020-11-01,2020,2020-11,COVID Period,Food & Drink,64.9,82.0
2020-11-01,2020,2020-11,COVID Period,Clothing,62.52,91.0
2020-11-01,2020,2020-11,COVID Period,Machinery & Industrial,45.6,78.0
2020-11-01,2020,2020-11,COVID Period,Chemicals & Pharma,43.0,65.0
2020-11-01,2020,2020-11,COVID Period,Energy & Fuels,22.81,71.0
2020-11-01,2020,2020-11,COVID Period,Food & Drink,28.0,82.0
2020-11-01,2020,2020-11,COVID Period,Clothing,21.57,91.0
2020-11-01,2020,2020-11,COVID Period,Machinery & Industrial,45.6,78.0
2020-11-01,2020,2020-11,COVID Period,Chemicals & Pharma,43.0,65.0
2020-11-01,2020,2020-11,COVID Period,Energy & Fuels,22.81,71.0
2020-12-01,2020,2020-12,COVID Period,Food & Drink,55.1,82.0
2020-12-01,2020,2020-12,COVID Period,Clothing,62.67,91.0
2020-12-01,2020,2020-12,COVID Period,Machinery & Industrial,45.6,78.0
